"","A","C","G","T","M","R","W","S","Y","K","V","H","D","B","N","-","+","."
"1",0,0.00396175197476223,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,-0.00144286028710474,0,0
"2",0,0.00144286028710472,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00144286028710474,0,0
"3",-0.0125944584382872,-0.00551466092783248,0,0.014171822650461,-0.00251889168765743,0,0,0,0.00915849453424959,-0.00125944584382872,0,0,0,0,0,-0.00144286028710474,0,0
"4",0.00144286028710472,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0,-0.000183414443276027,0,0
"5",0,0,0,0.00144286028710472,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,-0.000183414443276027,0,0
"6",0.011310557335355,0.00645618840331614,0,-0.0299699200313027,0,0,0.00215206280110538,0,0.0102345259348023,0,0,0,0,0,0,-0.000183414443276027,0,0
"7",-0.00467095448876276,0,0,-0.00125944584382872,0,0,0.00485436893203883,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"8",0,0,-0.00107603140055268,0,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"9",0,0.0179746154410506,0,-0.023721601330366,0,0,0,0,-0.000183414443276027,0.00485436893203883,0,0,0,0,0,0.00107603140055269,0,0
"10",-0.00125944584382872,0.0129612873248393,0,-0.0064806436624196,-0.00125944584382872,0,0,0,-0.00377833753148615,0,0,-0.00125944584382872,0,0,0,0.00107603140055269,0,0
"11",0,-0.00107603140055268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"12",0,-0.00251889168765743,0.00359492308821012,0.00036682888655204,0,0,0,0,-0.00251889168765743,0,0,0,0,0,0,0.00107603140055269,0,0
"13",0.00144286028710472,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"14",0,0,0,-0.00107603140055268,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"15",0,0,0,0.000183414443276075,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0.00107603140055269,0,0
"16",0.00593040033259152,0,-0.00915849453424955,0,0,0.00215206280110538,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"17",-0.000892616957276604,0.00485436893203883,-0.00125944584382872,0,-0.00125944584382872,-0.00251889168765743,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"18",-0.019894353280673,-0.00110048665965616,-0.0154801790124966,0.0106013548213543,0.00341150864493409,0.0080824631336969,0.00485436893203883,0,0.00844929202024895,0,0,0,0,0,0,0.00107603140055269,0,0
"19",-0.0106013548213543,0.00107603140055269,0,0,0,0.00844929202024895,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"20",0,-0.00107603140055268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"21",0.00593040033259152,0.00359492308821012,-0.00125944584382872,-0.0104179403780783,0,0,0,0,-0.00251889168765743,0.00359492308821012,0,0,0,0,0,0.00107603140055269,0,0
"22",-0.00629722921914358,0,0.00522119781859087,0,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"23",0,0,0,-0.00107603140055268,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"24",-0.000525788070724564,-0.00125944584382872,-0.00144286028710474,0,-0.00503778337531486,0.00718984617642024,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"25",0,-0.00593040033259151,0,0,0,0,0,0,0.00485436893203883,0,0,0,0,0,0,0.00107603140055269,0,0
"26",0,-0.00107603140055268,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"27",-0.020126678242156,0,0.00107603140055269,0.0107847692646304,0,0.0023354772443814,0.00485436893203883,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"28",0,0,-0.00107603140055268,0,0,0,0,0,0,0,0,0,0,0,0,0.00107603140055269,0,0
"29",0,0,0,0.000183414443276075,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0.00107603140055269,0,0
"30",0.0307769435817172,-0.00377833753148615,-0.0226700251889169,-0.00251889168765743,-0.00377833753148615,-0.00144286028710474,0.00359492308821012,0,0,-0.00125944584382872,0,0,0,0,0,0.00107603140055269,0,0
"31",-0.000892616957276604,-0.00251889168765743,-0.00125944584382872,-0.00125944584382872,0.00359492308821012,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"32",0.00739771587879978,-0.00125944584382872,0.00304467975838204,0,-0.00251889168765743,-0.00774008950624832,0,0,0,0,-0.00125944584382872,0,0,0,0,0.0023354772443814,0,0
"33",-0.0134626201364604,0.00359492308821012,-0.000550243329828079,0,0,0.0080824631336969,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"34",0,0.000158959184172556,0,0.00380279279058959,0,0,0,0,-0.00629722921914358,0,0,0,0,0,0,0.0023354772443814,0,0
"35",0,0,0,-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"36",0.0230613093345724,0,-0.014954390941772,0,-0.00125944584382872,-0.00918294979335306,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"37",-0.00107603140055268,0,0,0,-0.00125944584382872,0,0.00485436893203883,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"38",0.00503778337531491,0,0,0,0,-0.00251889168765743,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"39",-0.0284414663373358,-0.00251889168765743,0.0196498006896383,0,0,0.0102345259348023,0,0.00359492308821012,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"40",0,0.0025188916876574,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"41",0,-0.00107603140055268,0,0.00485436893203883,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"42",-0.00952532342080159,0,0.00359492308821012,0,0.00485436893203883,-0.00125944584382872,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"43",0,0,-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"44",0,0,-0.00233547724438143,0,0,0,0,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"45",0.0172898681861534,-0.00125944584382872,-0.00792350394952435,-0.00396175197476217,-0.00125944584382872,-0.000183414443276027,-0.00503778337531486,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"46",0.000183414443276075,0,-0.00125944584382872,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0,0,0.0023354772443814,0,0
"47",0,0,0,0.00377833753148615,0,0,0,0,-0.00125944584382872,0,0,0,0,0,0,-0.00251889168765743,0,0
"48",0,0,0.0025188916876574,0,0,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"49",0,0,0.0025188916876574,0,0,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"50",-0.00467095448876276,0.00485436893203883,0,0,-0.00125944584382872,0.00359492308821012,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"51",0,0.00593040033259152,0,-0.00556357144603947,0,0,0,0,0.00215206280110538,0,0,0,0,0,0,-0.00251889168765743,0,0
"52",0,0,0.0025188916876574,0,0,0,0,0,0,0,0,0,0,0,0,-0.00251889168765743,0,0
"53",0,0,-0.00107603140055268,0.00485436893203883,0,0,0,-0.00125944584382872,0,0,0,0,0,0,0,-0.00251889168765743,0,0
